name,year,selling_price,km_driven,mileage (kmpl),engine (CC),seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,max_power (bhp)
Maruti Swift Dzire VDI,2014.0,450000.0,145500.0,23.4,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,74.0
Skoda Rapid 1.5 TDI Ambition,2014.0,370000.0,120000.0,21.14,1498.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,103.52
Hyundai i20 Sportz Diesel,2010.0,225000.0,127000.0,23.0,1396.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,90.0
Hyundai Xcent 1.2 VTVT E Plus,2017.0,440000.0,45000.0,20.14,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,81.86
Maruti 800 DX BSII,2001.0,45000.0,5000.0,16.1,796.0,4.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,37.0
Toyota Etios VXD,2011.0,350000.0,90000.0,23.59,1364.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,67.1
Ford Figo Diesel Celebration Edition,2013.0,200000.0,169000.0,20.0,1399.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,68.1
Renault Duster 110PS Diesel RxL,2014.0,500000.0,68000.0,19.01,1461.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,108.45
Maruti Zen LX,2005.0,92000.0,100000.0,17.3,993.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,60.0
Maruti Swift Dzire VDi,2009.0,280000.0,140000.0,19.3,1248.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,73.9
Maruti Ertiga SHVS VDI,2016.0,778000.0,70000.0,24.52,1248.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,88.5
Hyundai i20 1.4 CRDi Asta,2012.0,500000.0,53000.0,23.0,1396.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,90.0
Maruti Alto LX,2002.0,150000.0,80000.0,19.7,796.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,46.3
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,680000.0,100000.0,22.54,1396.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.73
Mahindra Verito 1.5 D4 BSIII,2011.0,174000.0,100000.0,21.0,1461.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,64.1
Honda WR-V i-DTEC VX,2017.0,950000.0,50000.0,25.5,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,98.6
Maruti Swift Dzire ZDI,2015.0,525000.0,40000.0,26.59,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,74.0
Maruti SX4 ZDI,2012.0,600000.0,72000.0,21.5,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.8
Tata Tigor 2017-2020 XZ,2018.0,500000.0,35000.0,20.3,1199.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,83.81
Maruti Baleno Delta 1.2,2016.0,575000.0,45000.0,21.4,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,83.1
Maruti Alto 800 LXI,2017.0,275000.0,28000.0,24.7,796.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,47.3
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,300000.0,70000.0,18.2,1248.0,7.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,73.8
Maruti Wagon R LXI Minor,2009.0,220000.0,120000.0,18.9,1061.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.0
Maruti Omni E MPI STD BS IV,2018.0,254999.0,25000.0,16.8,796.0,8.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,34.2
Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,24.3,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.5
Maruti Omni 8 Seater BSIV,2012.0,150000.0,35000.0,14.0,796.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,35.0
Maruti Vitara Brezza LDi,2017.0,650000.0,16200.0,24.3,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.5
Maruti Alto K10 VXI Airbag,2019.0,366000.0,15000.0,23.95,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.1
Hyundai Verna VTVT 1.6 SX Option,2019.0,1149000.0,5000.0,17.0,1591.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,121.3
Datsun GO D,2016.0,150000.0,42000.0,20.63,1198.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.0
Tata Safari DICOR 2.2 LX 4x2,2011.0,425000.0,60000.0,13.93,2179.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,138.03
Maruti 800 Std,2012.0,150000.0,76000.0,16.1,796.0,4.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,37.0
Jeep Compass 1.4 Limited Plus BSIV,2019.0,2100000.0,5000.0,16.0,1368.0,5.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,160.77
Honda City i VTEC VX,2018.0,925000.0,28900.0,17.8,1497.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,117.3
Honda City V MT,2013.0,425000.0,86300.0,16.8,1497.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,116.3
Maruti Swift Dzire VXi AT,2018.0,675000.0,23300.0,18.5,1197.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,83.14
Maruti Vitara Brezza VDi,2018.0,819999.0,32600.0,24.3,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,88.5
Maruti Alto K10 VXI,2018.0,390000.0,10300.0,23.95,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,67.05
Toyota Fortuner 4x4 MT,2014.0,1500000.0,77000.0,12.55,2982.0,7.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,168.5
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013.0,700000.0,99000.0,12.99,2494.0,7.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,100.0
Mercedes-Benz B Class B180,2014.0,1450000.0,27800.0,14.8,2143.0,5.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,120.7
Honda Amaze S Diesel,2015.0,425000.0,49800.0,24.7,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,98.63
Mitsubishi Pajero Sport 4X4,2013.0,1090000.0,151000.0,13.5,2477.0,7.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,175.56
Honda City i DTEC S,2015.0,600000.0,54700.0,26.0,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,98.6
